task_label,num_train,train_input_widths,train_input_heights,train_output_widths,train_output_heights,test_input_width,test_input_height,test_output_width,test_output_height,unique_colors
1cf80156.json,3,"[12, 12, 12]","[10, 11, 12]","[4, 3, 5]","[4, 5, 3]",[12],[12],[6],[4],"[0, 1, 2, 6, 8]"
1e0a9b12.json,3,"[4, 6, 5]","[4, 6, 5]","[4, 6, 5]","[4, 6, 5]",[5],[5],[5],[5],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
1e32b0e9.json,3,"[17, 17, 17]","[17, 17, 17]","[17, 17, 17]","[17, 17, 17]",[17],[17],[17],[17],"[0, 1, 2, 3, 4, 8, 9]"
1f0c79e5.json,4,"[9, 9, 9, 9]","[9, 9, 9, 9]","[9, 9, 9, 9]","[9, 9, 9, 9]",[9],[9],[9],[9],"[0, 2, 3, 4, 6, 7, 8]"
1f642eb9.json,3,"[10, 10, 10]","[10, 10, 10]","[10, 10, 10]","[10, 10, 10]",[10],[10],[10],[10],"[0, 1, 2, 3, 4, 6, 7, 8, 9]"
1f85a75f.json,2,"[30, 30]","[30, 30]","[3, 3]","[5, 3]",[30],[30],[4],[4],"[0, 1, 2, 3, 4, 5, 8]"
1f876c06.json,3,"[10, 10, 10]","[10, 10, 10]","[10, 10, 10]","[10, 10, 10]",[10],[10],[10],[10],"[0, 2, 3, 4, 6, 7, 8, 9]"
1fad071e.json,3,"[9, 9, 9]","[9, 9, 9]","[5, 5, 5]","[1, 1, 1]",[9],[9],[5],[1],"[0, 1, 2]"
2013d3e2.json,2,"[10, 10]","[10, 10]","[3, 3]","[3, 3]",[10],[10],[3],[3],"[0, 1, 2, 3, 4, 5, 6, 7, 8]"
2204b7a8.json,3,"[10, 10, 10]","[10, 10, 10]","[10, 10, 10]","[10, 10, 10]",[10],[10],[10],[10],"[0, 1, 2, 3, 4, 5, 7, 8, 9]"
22168020.json,3,"[10, 10, 10]","[10, 10, 10]","[10, 10, 10]","[10, 10, 10]",[10],[10],[10],[10],"[0, 1, 3, 4, 6, 7, 8]"
22233c11.json,3,"[10, 10, 10]","[10, 10, 10]","[10, 10, 10]","[10, 10, 10]",[10],[10],[10],[10],"[0, 3, 8]"
2281f1f4.json,3,"[10, 10, 10]","[10, 10, 10]","[10, 10, 10]","[10, 10, 10]",[10],[10],[10],[10],"[0, 2, 5]"
228f6490.json,3,"[10, 10, 10]","[10, 10, 10]","[10, 10, 10]","[10, 10, 10]",[10],[10],[10],[10],"[0, 2, 3, 4, 5, 6, 7, 8, 9]"
22eb0ac0.json,3,"[10, 10, 10]","[10, 10, 10]","[10, 10, 10]","[10, 10, 10]",[10],[10],[10],[10],"[0, 1, 2, 3, 4, 5, 6, 8, 9]"
234bbc79.json,4,"[9, 11, 11, 11]","[3, 3, 3, 3]","[7, 9, 9, 8]","[3, 3, 3, 3]",[11],[3],[8],[3],"[0, 1, 2, 3, 5, 6, 8]"
23581191.json,2,"[9, 9]","[9, 9]","[9, 9]","[9, 9]",[9],[9],[9],[9],"[0, 2, 7, 8]"
239be575.json,6,"[5, 7, 7, 7, 7, 6]","[5, 5, 6, 6, 6, 6]","[1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1]","[6, 6]","[8, 8]","[1, 1]","[1, 1]","[0, 2, 8]"
23b5c85d.json,5,"[10, 20, 15, 15, 15]","[10, 20, 10, 13, 18]","[3, 3, 2, 4, 2]","[3, 2, 3, 3, 2]",[18],[18],[3],[3],"[0, 1, 2, 3, 4, 6, 7, 8]"
253bf280.json,8,"[13, 11, 11, 6, 3, 6, 6, 11]","[7, 10, 12, 9, 3, 5, 7, 12]","[13, 11, 11, 6, 3, 6, 6, 11]","[7, 10, 12, 9, 3, 5, 7, 12]",[13],[12],[13],[12],"[0, 3, 8]"
25d487eb.json,3,"[15, 12, 12]","[10, 12, 15]","[15, 12, 12]","[10, 12, 15]",[11],[16],[11],[16],"[0, 1, 2, 3, 4, 8]"
25d8a9c8.json,4,"[3, 3, 3, 3]","[3, 3, 3, 3]","[3, 3, 3, 3]","[3, 3, 3, 3]",[3],[3],[3],[3],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
25ff71a9.json,4,"[3, 3, 3, 3]","[3, 3, 3, 3]","[3, 3, 3, 3]","[3, 3, 3, 3]","[3, 3]","[3, 3]","[3, 3]","[3, 3]","[0, 1, 2]"
264363fd.json,3,"[30, 30, 30]","[30, 30, 30]","[30, 30, 30]","[30, 30, 30]",[30],[30],[30],[30],"[1, 2, 3, 4, 5, 6, 8]"
272f95fa.json,2,"[19, 14]","[18, 12]","[19, 14]","[18, 12]",[15],[17],[15],[17],"[0, 1, 2, 3, 4, 6, 8]"
27a28665.json,7,"[3, 3, 3, 3, 3, 3, 3]","[3, 3, 3, 3, 3, 3, 3]","[1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1]","[3, 3, 3]","[3, 3, 3]","[1, 1, 1]","[1, 1, 1]","[0, 1, 2, 3, 4, 5, 6, 7, 8]"
28bf18c6.json,3,"[8, 8, 8]","[8, 8, 8]","[6, 6, 6]","[3, 3, 3]",[8],[8],[6],[3],"[0, 1, 2, 3, 8]"
28e73c20.json,5,"[6, 8, 15, 13, 10]","[6, 8, 15, 13, 10]","[6, 8, 15, 13, 10]","[6, 8, 15, 13, 10]",[18],[18],[18],[18],"[0, 3]"
29623171.json,3,"[11, 11, 11]","[11, 11, 11]","[11, 11, 11]","[11, 11, 11]",[11],[11],[11],[11],"[0, 1, 2, 3, 4, 5]"
29c11459.json,2,"[11, 11]","[5, 5]","[11, 11]","[5, 5]",[11],[5],[11],[5],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
29ec7d0e.json,4,"[18, 18, 18, 18]","[18, 18, 18, 18]","[18, 18, 18, 18]","[18, 18, 18, 18]",[18],[18],[18],[18],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
2bcee788.json,4,"[10, 10, 10, 10]","[10, 10, 10, 10]","[10, 10, 10, 10]","[10, 10, 10, 10]",[10],[10],[10],[10],"[0, 1, 2, 3, 4, 6, 7, 8]"
2bee17df.json,3,"[12, 12, 10]","[12, 12, 10]","[12, 12, 10]","[12, 12, 10]",[14],[14],[14],[14],"[0, 2, 3, 8]"
2c608aff.json,4,"[12, 12, 12, 18]","[9, 10, 14, 14]","[12, 12, 12, 18]","[9, 10, 14, 14]",[21],[19],[21],[19],"[1, 2, 3, 4, 5, 8]"
2dc579da.json,3,"[5, 7, 11]","[5, 7, 11]","[2, 3, 5]","[2, 3, 5]",[13],[13],[6],[6],"[0, 1, 2, 3, 4, 8]"
2dd70a9a.json,3,"[20, 10, 15]","[20, 10, 15]","[20, 10, 15]","[20, 10, 15]",[13],[13],[13],[13],"[0, 2, 3, 8]"
2dee498d.json,3,"[9, 12, 6]","[3, 4, 2]","[3, 4, 2]","[3, 4, 2]",[15],[5],[5],[5],"[0, 1, 2, 3, 4, 5]"
31aa019c.json,3,"[10, 10, 10]","[10, 10, 10]","[10, 10, 10]","[10, 10, 10]",[10],[10],[10],[10],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
321b1fc6.json,2,"[10, 10]","[10, 10]","[10, 10]","[10, 10]",[10],[10],[10],[10],"[0, 3, 4, 6, 7, 8, 9]"
32597951.json,3,"[17, 17, 17]","[17, 17, 17]","[17, 17, 17]","[17, 17, 17]",[17],[17],[17],[17],"[0, 1, 3, 8]"
3345333e.json,2,"[16, 16]","[16, 16]","[16, 16]","[16, 16]",[16],[16],[16],[16],"[0, 1, 2, 3, 5, 6, 8]"
3428a4f5.json,4,"[5, 5, 5, 5]","[13, 13, 13, 13]","[5, 5, 5, 5]","[6, 6, 6, 6]","[5, 5]","[13, 13]","[5, 5]","[6, 6]","[0, 2, 3, 4]"
3618c87e.json,3,"[5, 5, 5]","[5, 5, 5]","[5, 5, 5]","[5, 5, 5]",[5],[5],[5],[5],"[0, 1, 5]"
3631a71a.json,4,"[30, 30, 30, 30]","[30, 30, 30, 30]","[30, 30, 30, 30]","[30, 30, 30, 30]",[30],[30],[30],[30],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
363442ee.json,3,"[13, 13, 13]","[9, 9, 9]","[13, 13, 13]","[9, 9, 9]",[13],[9],[13],[9],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
36d67576.json,3,"[13, 13, 13]","[13, 13, 13]","[13, 13, 13]","[13, 13, 13]",[15],[14],[15],[14],"[0, 1, 2, 3, 4]"
36fdfd69.json,3,"[18, 16, 14]","[17, 15, 15]","[18, 16, 14]","[17, 15, 15]",[18],[17],[18],[17],"[0, 1, 2, 3, 4, 8, 9]"
3906de3d.json,3,"[10, 10, 10]","[10, 10, 10]","[10, 10, 10]","[10, 10, 10]",[10],[10],[10],[10],"[0, 1, 2]"
39a8645d.json,3,"[14, 14, 14]","[14, 14, 14]","[3, 3, 3]","[3, 3, 3]",[14],[14],[3],[3],"[0, 1, 2, 3, 4, 6, 8]"
39e1d7f9.json,3,"[24, 27, 27]","[24, 27, 27]","[24, 27, 27]","[24, 27, 27]",[29],[29],[29],[29],"[0, 2, 3, 4, 6, 8]"
3aa6fb7a.json,2,"[7, 7]","[7, 7]","[7, 7]","[7, 7]",[7],[7],[7],[7],"[0, 1, 8]"
3ac3eb23.json,2,"[10, 7]","[6, 6]","[10, 7]","[6, 6]",[12],[6],[12],[6],"[0, 2, 3, 4, 6, 7, 8]"
3af2c5a8.json,3,"[4, 4, 4]","[3, 3, 3]","[8, 8, 8]","[6, 6, 6]",[4],[3],[8],[6],"[0, 3, 4, 8]"
3bd67248.json,3,"[15, 3, 7]","[15, 3, 7]","[15, 3, 7]","[15, 3, 7]",[10],[10],[10],[10],"[0, 2, 3, 4, 5, 6, 8]"
3bdb4ada.json,2,"[30, 20]","[8, 8]","[30, 20]","[8, 8]",[20],[11],[20],[11],"[0, 1, 4, 5, 7, 8]"
3befdf3e.json,3,"[10, 10, 10]","[10, 10, 10]","[10, 10, 10]","[10, 10, 10]",[12],[12],[12],[12],"[0, 1, 2, 3, 4, 6, 7, 8]"
3c9b0459.json,4,"[3, 3, 3, 3]","[3, 3, 3, 3]","[3, 3, 3, 3]","[3, 3, 3, 3]",[3],[3],[3],[3],"[1, 2, 3, 4, 5, 6, 7, 8, 9]"
3de23699.json,4,"[7, 9, 14, 18]","[7, 12, 12, 12]","[3, 5, 4, 8]","[3, 3, 4, 4]",[19],[18],[10],[8],"[0, 2, 3, 4, 6, 8]"
3e980e27.json,4,"[13, 13, 13, 13]","[13, 13, 13, 13]","[13, 13, 13, 13]","[13, 13, 13, 13]",[13],[13],[13],[13],"[0, 1, 2, 3, 4, 8]"
3eda0437.json,4,"[30, 20, 20, 20]","[3, 4, 2, 4]","[30, 20, 20, 20]","[3, 4, 2, 4]",[24],[4],[24],[4],"[0, 1, 5, 6]"
3f7978a0.json,3,"[9, 11, 13]","[9, 9, 11]","[5, 7, 5]","[5, 5, 6]",[13],[14],[4],[10],"[0, 5, 8]"
40853293.json,2,"[20, 10]","[30, 20]","[20, 10]","[30, 20]",[20],[20],[20],[20],"[0, 2, 3, 4, 5, 6, 7, 8, 9]"
4093f84a.json,3,"[14, 14, 14]","[14, 14, 14]","[14, 14, 14]","[14, 14, 14]",[14],[14],[14],[14],"[0, 1, 2, 3, 4, 5]"
41e4d17e.json,2,"[15, 15]","[15, 15]","[15, 15]","[15, 15]",[15],[15],[15],[15],"[1, 6, 8]"
4258a5f9.json,2,"[9, 9]","[9, 9]","[9, 9]","[9, 9]",[9],[9],[9],[9],"[0, 1, 5]"
4290ef0e.json,3,"[17, 18, 18]","[13, 18, 18]","[7, 7, 11]","[7, 7, 11]",[19],[19],[11],[11],"[0, 1, 2, 3, 4, 6, 7, 8]"
42a50994.json,4,"[11, 18, 19, 9]","[16, 12, 11, 17]","[11, 18, 19, 9]","[16, 12, 11, 17]",[14],[17],[14],[17],"[0, 3, 4, 5, 6, 8]"
4347f46a.json,3,"[16, 7, 12]","[18, 8, 11]","[16, 7, 12]","[18, 8, 11]",[19],[17],[19],[17],"[0, 1, 2, 3, 4, 5, 6, 7, 8]"
444801d8.json,3,"[10, 10, 10]","[10, 10, 10]","[10, 10, 10]","[10, 10, 10]",[10],[10],[10],[10],"[0, 1, 2, 3, 4, 6, 7, 8]"
445eab21.json,3,"[10, 10, 10]","[10, 10, 10]","[2, 2, 2]","[2, 2, 2]",[10],[10],[2],[2],"[0, 2, 3, 4, 6, 7, 8, 9]"
447fd412.json,3,"[12, 12, 12]","[14, 14, 14]","[12, 12, 12]","[14, 14, 14]",[21],[17],[21],[17],"[0, 1, 2]"
44d8ac46.json,4,"[12, 12, 12, 12]","[12, 12, 12, 12]","[12, 12, 12, 12]","[12, 12, 12, 12]",[12],[12],[12],[12],"[0, 2, 5]"
44f52bb0.json,6,"[3, 3, 3, 3, 3, 3]","[3, 3, 3, 3, 3, 3]","[1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1]","[3, 3]","[3, 3]","[1, 1]","[1, 1]","[0, 1, 2, 7]"
4522001f.json,2,"[3, 3]","[3, 3]","[9, 9]","[9, 9]",[3],[3],[9],[9],"[0, 2, 3]"
4612dd53.json,3,"[13, 13, 13]","[9, 11, 13]","[13, 13, 13]","[9, 11, 13]",[13],[13],[13],[13],"[0, 1, 2]"
46442a0e.json,3,"[2, 3, 3]","[2, 3, 3]","[4, 6, 6]","[4, 6, 6]",[3],[3],[6],[6],"[1, 4, 6, 7, 8, 9]"
469497ad.json,3,"[5, 5, 5]","[5, 5, 5]","[10, 15, 20]","[10, 15, 20]",[5],[5],[25],[25],"[0, 1, 2, 3, 4, 6, 7, 8, 9]"
46f33fce.json,3,"[10, 10, 10]","[10, 10, 10]","[20, 20, 20]","[20, 20, 20]",[10],[10],[20],[20],"[0, 1, 2, 3, 4, 6, 8]"
47c1f68c.json,3,"[11, 9, 7]","[11, 9, 7]","[10, 8, 6]","[10, 8, 6]",[13],[13],[12],[12],"[0, 1, 2, 3, 4, 8]"
484b58aa.json,3,"[29, 29, 29]","[29, 29, 29]","[29, 29, 29]","[29, 29, 29]",[29],[29],[29],[29],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
48d8fb45.json,3,"[10, 10, 10]","[10, 10, 10]","[3, 3, 3]","[3, 3, 3]",[10],[10],[3],[3],"[0, 1, 2, 3, 4, 5]"
4938f0c2.json,3,"[30, 10, 14]","[20, 10, 12]","[30, 10, 14]","[20, 10, 12]",[14],[18],[14],[18],"[0, 2, 3]"
496994bd.json,2,"[3, 5]","[10, 10]","[3, 5]","[10, 10]",[6],[10],[6],[10],"[0, 2, 3, 5, 8]"
49d1d64f.json,3,"[2, 3, 3]","[2, 2, 3]","[4, 5, 5]","[4, 4, 5]",[2],[3],[4],[5],"[0, 1, 2, 3, 4, 8]"
4be741c5.json,3,"[16, 7, 9]","[14, 9, 11]","[3, 1, 1]","[1, 3, 4]",[14],[14],[4],[1],"[1, 2, 3, 4, 5, 6, 8]"
4c4377d9.json,4,"[4, 4, 4, 4]","[3, 3, 3, 3]","[4, 4, 4, 4]","[6, 6, 6, 6]",[4],[3],[4],[6],"[1, 3, 4, 5, 9]"
4c5c2cf0.json,3,"[14, 14, 12]","[14, 14, 12]","[14, 14, 12]","[14, 14, 12]",[15],[15],[15],[15],"[0, 1, 2, 3, 4, 7, 8]"
50846271.json,4,"[22, 20, 19, 12]","[20, 20, 18, 11]","[22, 20, 19, 12]","[20, 20, 18, 11]",[22],[19],[22],[19],"[0, 2, 5, 8]"
508bd3b6.json,3,"[12, 12, 12]","[12, 12, 12]","[12, 12, 12]","[12, 12, 12]",[12],[12],[12],[12],"[0, 2, 3, 8]"
50cb2852.json,3,"[15, 11, 13]","[13, 12, 12]","[15, 11, 13]","[13, 12, 12]",[13],[14],[13],[14],"[0, 1, 2, 3, 8]"
5117e062.json,3,"[13, 13, 13]","[13, 13, 13]","[3, 3, 3]","[3, 3, 3]",[13],[13],[3],[3],"[0, 1, 2, 3, 4, 6, 7, 8]"
5168d44c.json,3,"[13, 7, 7]","[7, 13, 7]","[13, 7, 7]","[7, 13, 7]",[17],[7],[17],[7],"[0, 2, 3]"
539a4f51.json,3,"[5, 5, 5]","[5, 5, 5]","[10, 10, 10]","[10, 10, 10]",[5],[5],[10],[10],"[0, 1, 2, 3, 4, 6, 7]"
53b68214.json,3,"[10, 10, 10]","[6, 5, 8]","[10, 10, 10]","[10, 10, 10]","[10, 10]","[8, 5]","[10, 10]","[10, 10]","[0, 1, 2, 3, 6, 8]"
543a7ed5.json,2,"[15, 15]","[15, 15]","[15, 15]","[15, 15]",[15],[15],[15],[15],"[3, 4, 6, 8]"
54d82841.json,3,"[8, 5, 7]","[8, 5, 5]","[8, 5, 7]","[8, 5, 5]",[11],[7],[11],[7],"[0, 3, 4, 5, 6, 8]"
54d9e175.json,4,"[11, 11, 11, 11]","[3, 3, 3, 7]","[11, 11, 11, 11]","[3, 3, 3, 7]",[11],[7],[11],[7],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
5521c0d9.json,3,"[15, 15, 15]","[15, 15, 15]","[15, 15, 15]","[15, 15, 15]",[15],[15],[15],[15],"[0, 1, 2, 4]"
5582e5ca.json,3,"[3, 3, 3]","[3, 3, 3]","[3, 3, 3]","[3, 3, 3]",[3],[3],[3],[3],"[0, 1, 3, 4, 6, 8, 9]"
5614dbcf.json,2,"[9, 9]","[9, 9]","[3, 3]","[3, 3]",[9],[9],[3],[3],"[0, 2, 3, 4, 5, 6, 7, 8, 9]"
56dc2b01.json,3,"[16, 5, 5]","[4, 17, 17]","[16, 5, 5]","[4, 17, 17]",[18],[4],[18],[4],"[0, 2, 3, 8]"
56ff96f3.json,4,"[10, 8, 10, 11]","[10, 7, 10, 6]","[10, 8, 10, 11]","[10, 7, 10, 6]",[8],[9],[8],[9],"[0, 1, 2, 3, 4, 6, 7, 8]"
57aa92db.json,4,"[12, 18, 18, 18]","[16, 16, 17, 15]","[12, 18, 18, 18]","[16, 16, 17, 15]",[30],[19],[30],[19],"[0, 1, 2, 3, 4, 6, 8]"
5ad4f10b.json,3,"[24, 23, 23]","[20, 22, 24]","[3, 3, 3]","[3, 3, 3]",[26],[22],[3],[3],"[0, 1, 2, 3, 4, 6, 8]"
5bd6f4ac.json,4,"[9, 9, 9, 9]","[9, 9, 9, 9]","[3, 3, 3, 3]","[3, 3, 3, 3]",[9],[9],[3],[3],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
5c0a986e.json,3,"[10, 10, 10]","[10, 10, 10]","[10, 10, 10]","[10, 10, 10]",[10],[10],[10],[10],"[0, 1, 2]"
5c2c9af4.json,3,"[23, 23, 23]","[23, 23, 23]","[23, 23, 23]","[23, 23, 23]",[28],[28],[28],[28],"[0, 2, 3, 4, 8]"
5daaa586.json,3,"[22, 12, 15]","[22, 12, 14]","[12, 8, 9]","[15, 8, 6]",[15],[16],[10],[12],"[0, 1, 2, 3, 4, 6, 8]"
60b61512.json,2,"[9, 9]","[9, 9]","[9, 9]","[9, 9]",[9],[9],[9],[9],"[0, 4, 7]"
6150a2bd.json,2,"[3, 3]","[3, 3]","[3, 3]","[3, 3]",[3],[3],[3],[3],"[0, 1, 2, 3, 4, 5, 6, 7, 8]"
623ea044.json,3,"[15, 15, 7]","[15, 15, 7]","[15, 15, 7]","[15, 15, 7]",[17],[17],[17],[17],"[0, 2, 6, 7, 8]"
62c24649.json,3,"[3, 3, 3]","[3, 3, 3]","[6, 6, 6]","[6, 6, 6]",[3],[3],[6],[6],"[0, 1, 2, 3]"
63613498.json,3,"[10, 10, 10]","[10, 10, 10]","[10, 10, 10]","[10, 10, 10]",[10],[10],[10],[10],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
6430c8c4.json,4,"[4, 4, 4, 4]","[9, 9, 9, 9]","[4, 4, 4, 4]","[4, 4, 4, 4]",[4],[9],[4],[4],"[0, 2, 3, 4, 7]"
6455b5f5.json,4,"[13, 13, 16, 16]","[18, 11, 11, 15]","[13, 13, 16, 16]","[18, 11, 11, 15]",[16],[13],[16],[13],"[0, 1, 2, 8]"
662c240a.json,4,"[3, 3, 3, 3]","[9, 9, 9, 9]","[3, 3, 3, 3]","[3, 3, 3, 3]",[3],[9],[3],[3],"[1, 2, 3, 4, 5, 6, 7, 8, 9]"
67385a82.json,4,"[3, 6, 4, 6]","[3, 4, 4, 5]","[3, 6, 4, 6]","[3, 4, 4, 5]",[5],[5],[5],[5],"[0, 3, 8]"
673ef223.json,3,"[8, 10, 10]","[19, 20, 20]","[8, 10, 10]","[19, 20, 20]",[12],[21],[12],[21],"[0, 2, 4, 8]"
6773b310.json,4,"[11, 11, 11, 11]","[11, 11, 11, 11]","[3, 3, 3, 3]","[3, 3, 3, 3]",[11],[11],[3],[3],"[0, 1, 6, 8]"
67a3c6ac.json,3,"[4, 7, 6]","[4, 7, 6]","[4, 7, 6]","[4, 7, 6]",[3],[3],[3],[3],"[1, 2, 6, 7]"
67a423a3.json,3,"[4, 8, 6]","[4, 8, 6]","[4, 8, 6]","[4, 8, 6]",[12],[12],[12],[12],"[0, 1, 2, 3, 4, 5, 6, 8, 9]"
67e8384a.json,4,"[3, 3, 3, 3]","[3, 3, 3, 3]","[6, 6, 6, 6]","[6, 6, 6, 6]",[3],[3],[6],[6],"[1, 2, 3, 4, 5, 6, 7, 8]"
681b3aeb.json,3,"[10, 10, 10]","[10, 10, 10]","[3, 3, 3]","[3, 3, 3]",[10],[10],[3],[3],"[0, 1, 2, 3, 4, 6, 7, 8]"
6855a6e4.json,3,"[15, 15, 15]","[15, 15, 15]","[15, 15, 15]","[15, 15, 15]",[15],[15],[15],[15],"[0, 2, 5]"
68b16354.json,3,"[5, 5, 7]","[5, 5, 7]","[5, 5, 7]","[5, 5, 7]",[7],[7],[7],[7],"[1, 2, 3, 4, 7, 8]"
694f12f3.json,2,"[10, 10]","[10, 10]","[10, 10]","[10, 10]",[10],[10],[10],[10],"[0, 1, 2, 4]"
6a1e5592.json,2,"[15, 15]","[10, 10]","[15, 15]","[10, 10]",[15],[10],[15],[10],"[0, 1, 2, 5]"
6aa20dc0.json,3,"[19, 21, 22]","[20, 20, 21]","[19, 21, 22]","[20, 20, 21]",[22],[22],[22],[22],"[1, 2, 3, 4, 6, 8]"
